,x,y,brand,cluster
89,-0.46502448676675223,1.8815845740760628,Comme des Garçons Homme Plus,7
90,-2.2855497338454493,0.13668949271955183,Comme des Garçons Play,9
91,-0.919018092601466,1.3634513179009953,Comme des Garçons Shirt,10
92,-0.4949525609424172,0.33918831708853314,Comme des Garçons Wallets,4
93,0.4637808158074059,1.4261955100537964,Common Projects-W,1
94,-0.9190180926014673,1.3634513179009946,Common Projects-M,10
95,-0.14406169683421005,-0.9582937316372329,Connor McKnight,0
96,-0.47760614644077815,0.8187287376638123,Converse,13
97,-0.14406169683421002,-0.9582937316372329,Cornerstone,0
98,0.463780815807406,1.4261955100537962,Côte & Ciel,1
99,0.35774357829224895,1.5012227190953793,Craig Green,1
100,1.1618946161411827,0.7680295425922892,Cutler And Gross,6
101,-0.14406169683421002,-0.9582937316372329,D'heygere,0
